dropout,epoch,train_loss,test_loss,train_acc,test_acc,train_f1,test_f1,acc_gap
0.0,1,0.6097532134056092,0.6859505195617676,0.7822,0.749,0.7782989728482202,0.7428709134076618,0.03320000000000001
0.0,2,0.6138427834987641,0.742748761177063,0.7876,0.751,0.7688704874334875,0.7276019565591769,0.036599999999999966
0.0,3,0.46863177819252017,0.5832126417160034,0.8334,0.789,0.8316090304370347,0.7865737587940698,0.044399999999999995
0.0,4,0.4095037811756134,0.5597599515914917,0.8498,0.798,0.8481834362227165,0.7954412654606194,0.05179999999999996
0.0,5,0.37191380829811094,0.5367519221305848,0.8658,0.826,0.8636959642003627,0.822305406438897,0.03980000000000006
0.0,6,0.3443128399848938,0.526658754825592,0.8796,0.827,0.8769079581755662,0.8227340651019883,0.05260000000000009
0.0,7,0.30140251631736753,0.4954440131187439,0.8924,0.839,0.8929177039462782,0.8394498237888506,0.0534
0.0,8,0.33347358784675596,0.5546108675003052,0.8796,0.81,0.8795841981889078,0.8092864350343234,0.0696
0.0,9,0.32071045429706574,0.5613515048027039,0.8802,0.812,0.8797161067074246,0.8114969337668103,0.06819999999999993
0.0,10,0.28475764589309693,0.5458469424247742,0.8972,0.826,0.8970074983081368,0.8251525649035185,0.07120000000000004
0.0,11,0.2713219876289368,0.5489050383567811,0.9014,0.825,0.9037714359747542,0.8275816738357987,0.07640000000000002
0.0,12,0.22638725717067718,0.5389938406944275,0.9172,0.834,0.9174182274715029,0.8338919571439263,0.08320000000000005
0.0,13,0.28393396723270414,0.6135843014717102,0.8864,0.823,0.8842244276188206,0.8191359399851749,0.06340000000000001
0.0,14,0.21284394435882567,0.5567354183197022,0.9196,0.837,0.9175718440484172,0.830424500194751,0.0826
0.0,15,0.2175248677968979,0.5742743945121765,0.9194,0.821,0.9187202678884633,0.8205892988713167,0.09840000000000004
0.0,16,0.20515893139839173,0.6026931195259094,0.9232,0.827,0.9237564325919477,0.8265239067101857,0.09620000000000006
0.0,17,0.2029526069164276,0.5984430470466614,0.9282,0.841,0.9292580302905687,0.8429506971890252,0.08720000000000006
0.0,18,0.16322904872894287,0.619107795715332,0.937,0.833,0.9368773319702388,0.8316364713459189,0.10400000000000009
0.0,19,0.15944616751670837,0.6111904783248902,0.9408,0.836,0.939890257579644,0.829877041110046,0.1048
0.0,20,0.1566495398402214,0.5868129696846008,0.9418,0.843,0.9419343258578807,0.8442904132805744,0.0988
0.0,21,0.19324624660015105,0.653939519405365,0.9202,0.817,0.9164043250813885,0.8052719010373848,0.10320000000000007
0.0,22,0.1495263089299202,0.6685313649177551,0.945,0.839,0.9451520112552967,0.8389854141462347,0.10599999999999998
0.0,23,0.1886188265800476,0.6507205424308777,0.9292,0.835,0.9297563823792652,0.8367159874136897,0.09420000000000006
0.0,24,0.15325974085330962,0.6391552128791809,0.9464,0.838,0.9460591152480948,0.83286399173483,0.10840000000000005
0.0,25,0.11078393300771713,0.5987427444458008,0.9614,0.842,0.9614724656140712,0.8395661919273166,0.11940000000000006
0.0,26,0.12400987938642502,0.6472540721893311,0.9542,0.83,0.9539054605063344,0.8247475609446067,0.12420000000000009
0.0,27,0.11037086583375931,0.6737360291481018,0.96,0.831,0.9598480108886956,0.8277972793197886,0.129
0.0,28,0.1003931464791298,0.71443670129776,0.9628,0.831,0.9629075138584053,0.8291022399497019,0.13180000000000003
0.0,29,0.11907262096405029,0.6470746817588806,0.9544,0.845,0.9542184076820993,0.8450095453950304,0.10940000000000005
0.0,30,0.0819266908288002,0.6775069952011108,0.9698,0.844,0.9695670500281299,0.8398235255397134,0.12580000000000002
